case,split,digit,whole,zeros,layer,control,source_margin,target_margin,patched_margin,margin_effect,target_correct,patched_correct,model,revision
1,discovery,1,35,4,2,number_tokens,26.625,20.5,20.0,-0.5,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,2,random_positions,26.625,20.5,20.5,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,3,answer_position,26.625,20.5,20.5,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,3,number_tokens,26.625,20.5,22.75,2.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,3,random_positions,26.625,20.5,21.75,1.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,4,answer_position,26.625,20.5,20.5,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,4,number_tokens,26.625,20.5,23.25,2.75,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,4,random_positions,26.625,20.5,22.0,1.5,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,5,answer_position,26.625,20.5,20.75,0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,5,number_tokens,26.625,20.5,23.0,2.5,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,5,random_positions,26.625,20.5,22.5,2.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,6,answer_position,26.625,20.5,20.75,0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,6,number_tokens,26.625,20.5,23.5,3.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,6,random_positions,26.625,20.5,21.75,1.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,7,answer_position,26.625,20.5,20.5,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,7,number_tokens,26.625,20.5,9.75,-10.75,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,7,random_positions,26.625,20.5,21.75,1.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,8,answer_position,26.625,20.5,20.5,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,8,number_tokens,26.625,20.5,9.25,-11.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,8,random_positions,26.625,20.5,23.625,3.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,9,answer_position,26.625,20.5,20.5,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,9,number_tokens,26.625,20.5,0.75,-19.75,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,9,random_positions,26.625,20.5,24.125,3.625,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,10,answer_position,26.625,20.5,20.5,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,10,number_tokens,26.625,20.5,1.5,-19.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,10,random_positions,26.625,20.5,24.375,3.875,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,11,answer_position,26.625,20.5,20.5,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,11,number_tokens,26.625,20.5,-12.0,-32.5,True,False,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,11,random_positions,26.625,20.5,24.375,3.875,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,12,answer_position,26.625,20.5,20.5,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,12,number_tokens,26.625,20.5,2.75,-17.75,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,12,random_positions,26.625,20.5,23.5,3.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,13,answer_position,26.625,20.5,20.5,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,13,number_tokens,26.625,20.5,12.75,-7.75,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,13,random_positions,26.625,20.5,22.0,1.5,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,14,answer_position,26.625,20.5,20.25,-0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,14,number_tokens,26.625,20.5,20.5,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,14,random_positions,26.625,20.5,25.125,4.625,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,15,answer_position,26.625,20.5,20.25,-0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,15,number_tokens,26.625,20.5,23.875,3.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,15,random_positions,26.625,20.5,25.5,5.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,16,answer_position,26.625,20.5,20.5,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,16,number_tokens,26.625,20.5,24.0,3.5,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
